,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
678,male,group D,associate's degree,free/reduced,,married,regularly,yes,1,,5 - 10,83,76,79
679,male,group D,some college,free/reduced,,divorced,sometimes,yes,3,school_bus,5 - 10,63,61,60
680,female,group D,high school,standard,none,divorced,regularly,yes,6,school_bus,< 5,66,71,74
682,male,group B,high school,standard,none,divorced,regularly,yes,2,school_bus,5 - 10,63,55,55
683,female,group C,,free/reduced,completed,divorced,regularly,yes,2,private,5 - 10,29,40,45
684,male,group B,some college,standard,,married,regularly,yes,1,school_bus,< 5,61,65,68
685,female,group E,master's degree,standard,completed,single,sometimes,yes,2,school_bus,> 10,97,100,100
686,male,group E,some college,standard,completed,single,sometimes,yes,0,school_bus,5 - 10,85,75,68
687,male,,associate's degree,free/reduced,none,divorced,regularly,yes,2,school_bus,> 10,81,80,76
688,male,group A,high school,free/reduced,none,divorced,sometimes,yes,2,school_bus,5 - 10,53,58,44
689,male,group E,some college,free/reduced,none,married,sometimes,yes,3,private,5 - 10,93,90,83
690,female,group C,associate's degree,standard,none,married,never,yes,5,school_bus,5 - 10,47,52,51
691,female,group E,associate's degree,free/reduced,none,married,sometimes,no,1,private,< 5,70,74,76
692,female,group C,,free/reduced,completed,divorced,sometimes,yes,0,private,> 10,67,75,82
693,female,group D,associate's degree,standard,none,married,regularly,yes,2,school_bus,5 - 10,79,78,74
694,female,group C,some high school,standard,none,single,sometimes,yes,1,school_bus,5 - 10,49,63,56
695,female,group D,some college,free/reduced,none,married,,no,2,school_bus,> 10,81,90,87
696,female,,associate's degree,standard,completed,married,sometimes,yes,1,school_bus,< 5,72,80,88
697,female,group A,bachelor's degree,standard,none,,sometimes,no,3,private,< 5,57,70,68
698,female,group D,associate's degree,standard,completed,married,sometimes,yes,2,school_bus,5 - 10,57,78,79
699,male,group C,high school,free/reduced,none,divorced,never,yes,3,private,5 - 10,64,65,57
700,female,group E,bachelor's degree,standard,completed,single,regularly,yes,4,school_bus,5 - 10,81,82,84
701,female,,some high school,standard,none,married,never,no,2,school_bus,,55,65,70
702,male,group A,bachelor's degree,standard,completed,married,regularly,yes,,school_bus,< 5,86,83,87
703,female,group D,,standard,,married,never,yes,2,private,5 - 10,61,63,65
704,female,group B,some high school,free/reduced,completed,married,sometimes,yes,3,school_bus,< 5,57,62,62
705,male,group A,,free/reduced,none,single,regularly,yes,2,school_bus,5 - 10,63,73,66
706,male,group D,high school,standard,none,married,regularly,yes,2,private,5 - 10,47,34,36
707,male,group C,some college,standard,,married,sometimes,yes,3,private,5 - 10,66,59,52
708,male,group D,high school,standard,none,married,never,yes,2,school_bus,< 5,83,84,75
709,female,group D,associate's degree,free/reduced,completed,divorced,sometimes,yes,0,school_bus,5 - 10,42,61,58
710,male,group C,some college,standard,completed,divorced,sometimes,yes,0,,5 - 10,93,84,90
711,female,group E,some high school,standard,completed,divorced,sometimes,yes,2,school_bus,5 - 10,80,85,85
712,female,group D,some college,standard,none,married,sometimes,yes,3,school_bus,5 - 10,98,100,99
713,male,group D,master's degree,standard,none,divorced,sometimes,no,1,school_bus,< 5,79,81,84
714,female,group B,some high school,standard,completed,married,regularly,no,1,school_bus,> 10,63,72,77
715,female,group B,associate's degree,free/reduced,completed,married,regularly,yes,0,private,< 5,75,93,87
716,male,group C,associate's degree,standard,completed,divorced,never,yes,1,,< 5,68,75,68
717,female,group C,associate's degree,standard,completed,single,sometimes,yes,4,private,5 - 10,96,96,99
718,female,group C,high school,standard,none,widowed,regularly,yes,3,,5 - 10,78,77,75
719,male,group E,associate's degree,free/reduced,completed,divorced,never,,0,school_bus,< 5,85,70,76
720,female,group C,some college,free/reduced,none,married,regularly,no,2,private,5 - 10,63,73,71
721,male,group D,some high school,free/reduced,completed,married,regularly,yes,1,school_bus,5 - 10,56,59,60
722,female,group B,some high school,free/reduced,,single,regularly,yes,2,school_bus,< 5,73,89,88
723,male,group C,high school,standard,none,married,regularly,no,2,school_bus,5 - 10,51,48,43
724,male,group B,some college,standard,none,divorced,sometimes,yes,4,school_bus,> 10,48,43,41
725,male,group E,some college,standard,completed,married,never,yes,4,,< 5,76,71,67
726,female,group E,,standard,completed,single,sometimes,yes,3,school_bus,> 10,66,76,78
727,male,group E,some high school,standard,completed,married,regularly,yes,0,school_bus,5 - 10,70,51,58
728,female,group D,high school,free/reduced,none,single,sometimes,yes,1,private,< 5,70,90,82
729,male,group C,some college,standard,none,single,regularly,no,3,private,< 5,52,38,37
730,female,group B,associate's degree,free/reduced,completed,divorced,sometimes,yes,5,private,< 5,65,75,78
731,male,,some high school,free/reduced,none,divorced,sometimes,,0,,< 5,53,45,42
732,female,group C,some college,standard,completed,married,never,yes,2,private,> 10,86,88,93
733,male,,,standard,none,divorced,sometimes,yes,,,5 - 10,55,47,44
734,female,group E,some college,free/reduced,none,married,never,yes,1,school_bus,> 10,52,57,56
735,male,group C,master's degree,standard,,married,sometimes,no,5,private,< 5,64,56,57
736,male,group C,associate's degree,standard,none,married,regularly,yes,0,,5 - 10,94,80,86
737,female,,some college,free/reduced,completed,married,sometimes,no,6,school_bus,5 - 10,53,66,73
738,male,group D,associate's degree,standard,none,married,,no,2,school_bus,5 - 10,81,71,73
739,male,group C,high school,free/reduced,none,married,regularly,yes,0,private,5 - 10,62,60,56
740,male,group D,bachelor's degree,standard,none,married,never,yes,2,,> 10,79,72,71
741,female,,associate's degree,free/reduced,none,married,sometimes,yes,1,school_bus,5 - 10,37,57,56
742,female,group C,high school,standard,none,married,sometimes,yes,4,private,5 - 10,81,84,82
743,female,group C,associate's degree,standard,completed,married,sometimes,yes,4,school_bus,5 - 10,59,73,72
744,male,group B,some college,free/reduced,none,married,regularly,yes,2,private,5 - 10,56,55,48
745,male,,associate's degree,standard,none,,regularly,no,4,private,< 5,71,78,74
746,male,group D,high school,standard,none,married,regularly,yes,1,,5 - 10,71,76,72
747,male,group C,some college,standard,none,married,sometimes,yes,1,school_bus,5 - 10,69,64,68
748,female,,bachelor's degree,free/reduced,none,married,sometimes,no,4,school_bus,5 - 10,50,60,59
749,male,group B,some college,standard,completed,married,sometimes,yes,4,school_bus,5 - 10,87,84,86
750,male,group D,some high school,standard,completed,married,sometimes,no,2,school_bus,,71,69,68
751,male,group E,some college,standard,none,,never,yes,1,private,> 10,67,71,64
752,male,group C,master's degree,free/reduced,completed,single,never,yes,1,private,,77,77,75
753,female,group C,some high school,standard,completed,married,sometimes,no,1,private,5 - 10,77,90,85
754,male,group C,associate's degree,free/reduced,none,single,regularly,yes,4,school_bus,5 - 10,59,55,54
755,female,group E,associate's degree,standard,none,married,sometimes,yes,4,school_bus,> 10,86,96,93
756,male,group D,some college,standard,none,married,sometimes,no,2,private,> 10,56,58,53
757,male,group E,bachelor's degree,free/reduced,completed,married,sometimes,no,,,5 - 10,70,68,72
758,female,group D,some college,free/reduced,completed,married,regularly,yes,5,private,5 - 10,53,59,66
759,male,group B,some college,standard,completed,,sometimes,yes,1,school_bus,5 - 10,69,77,77
760,female,group C,high school,free/reduced,none,married,sometimes,yes,1,school_bus,5 - 10,53,72,64
761,female,group D,some high school,standard,none,,sometimes,yes,1,school_bus,5 - 10,48,58,54
762,male,group D,some high school,standard,completed,single,never,no,4,school_bus,5 - 10,75,79,83
763,female,group B,high school,standard,none,divorced,never,yes,2,private,5 - 10,60,61,61
764,male,group D,some college,standard,none,married,sometimes,yes,0,school_bus,5 - 10,60,63,59
765,female,group B,high school,standard,none,married,sometimes,yes,0,school_bus,5 - 10,74,72,72
766,female,,high school,standard,completed,widowed,regularly,yes,1,,< 5,57,74,77
767,male,group B,high school,standard,completed,single,sometimes,yes,0,school_bus,5 - 10,76,62,60
768,female,group D,some high school,standard,none,married,never,yes,1,private,> 10,67,70,74
769,male,group A,some college,free/reduced,none,,never,yes,1,school_bus,5 - 10,56,59,55
770,male,group B,high school,standard,none,,sometimes,yes,0,private,< 5,50,47,48
771,male,group D,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,> 10,79,75,77
772,female,group B,some high school,free/reduced,completed,married,never,yes,0,school_bus,< 5,48,65,68
773,female,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,3,school_bus,5 - 10,62,78,79
774,male,group B,,standard,none,single,never,no,3,school_bus,5 - 10,64,64,58
775,female,group B,some high school,free/reduced,none,married,regularly,yes,4,private,< 5,48,57,55
776,female,group B,high school,standard,,single,regularly,no,1,private,< 5,65,71,70
777,female,group C,some college,free/reduced,none,single,regularly,no,4,private,5 - 10,36,44,44
778,female,,,standard,completed,married,sometimes,yes,,,> 10,74,80,83
779,male,group E,associate's degree,standard,completed,widowed,regularly,no,1,school_bus,5 - 10,96,86,84
780,female,group D,associate's degree,free/reduced,none,,regularly,no,2,school_bus,5 - 10,47,56,58
781,female,group B,master's degree,standard,none,married,sometimes,yes,1,school_bus,< 5,75,90,84
782,female,group B,,free/reduced,completed,married,sometimes,no,4,school_bus,5 - 10,76,85,82
783,female,group C,associate's degree,standard,completed,married,sometimes,yes,4,school_bus,5 - 10,52,59,62
784,male,group C,bachelor's degree,standard,completed,married,sometimes,no,3,school_bus,< 5,88,79,77
785,female,group B,some high school,standard,completed,married,sometimes,no,2,private,5 - 10,32,51,44
786,female,group E,some high school,free/reduced,none,married,regularly,yes,1,school_bus,5 - 10,74,80,78
787,female,group B,some college,standard,none,single,regularly,no,4,private,< 5,18,37,32
788,male,group C,associate's degree,free/reduced,,single,regularly,yes,1,school_bus,5 - 10,70,65,62
789,female,group C,master's degree,free/reduced,none,married,sometimes,yes,3,private,5 - 10,52,65,61
790,female,group B,high school,standard,none,,sometimes,yes,,private,> 10,49,62,61
791,female,,some college,free/reduced,none,divorced,regularly,yes,2,school_bus,> 10,63,67,73
792,male,group D,high school,free/reduced,none,married,regularly,yes,0,school_bus,< 5,65,73,69
793,male,group E,some high school,standard,completed,married,never,no,1,private,< 5,83,81,73
794,female,group B,high school,standard,none,widowed,regularly,yes,1,school_bus,5 - 10,43,52,52
795,female,group E,associate's degree,free/reduced,completed,divorced,regularly,no,3,private,5 - 10,58,69,74
796,male,group D,high school,standard,none,divorced,sometimes,yes,0,private,5 - 10,70,70,70
797,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,0,school_bus,5 - 10,70,84,81
798,male,group E,,standard,none,married,sometimes,no,4,private,5 - 10,69,60,54
799,female,group C,associate's degree,standard,none,married,never,yes,,school_bus,5 - 10,50,54,55
800,male,group C,some high school,standard,completed,,,no,2,,5 - 10,67,73,68
803,female,group B,some college,standard,none,married,regularly,yes,1,school_bus,5 - 10,84,86,89
804,female,group C,some college,standard,none,,never,yes,3,school_bus,5 - 10,70,74,76
805,male,group A,some college,free/reduced,none,divorced,sometimes,yes,3,,< 5,72,79,72
806,female,group D,some college,free/reduced,none,single,sometimes,yes,2,school_bus,< 5,62,72,73
807,female,group E,high school,free/reduced,none,divorced,sometimes,no,4,,> 10,42,45,40
808,male,group C,high school,standard,none,married,sometimes,yes,5,private,5 - 10,90,75,69
809,male,group B,bachelor's degree,standard,none,married,sometimes,yes,3,school_bus,5 - 10,59,54,51
810,male,group A,some high school,standard,none,married,sometimes,no,1,private,5 - 10,51,31,36
811,male,group A,high school,free/reduced,none,single,sometimes,yes,1,school_bus,> 10,46,47,49
812,female,group C,master's degree,standard,completed,married,regularly,yes,3,school_bus,< 5,53,63,67
813,male,group E,some high school,standard,completed,married,sometimes,yes,2,school_bus,> 10,89,85,77
814,female,group C,high school,standard,none,married,sometimes,yes,,school_bus,> 10,74,81,84
815,male,group B,some high school,standard,completed,married,regularly,no,2,,5 - 10,96,87,89
817,male,group D,bachelor's degree,free/reduced,completed,married,regularly,yes,0,school_bus,5 - 10,62,71,77
818,female,group B,high school,free/reduced,none,,sometimes,yes,1,private,5 - 10,60,72,68
819,female,group C,some high school,standard,none,married,sometimes,no,3,private,< 5,74,89,86
820,female,group A,some high school,standard,completed,divorced,,yes,3,school_bus,5 - 10,85,90,92
822,male,group E,some college,free/reduced,completed,married,regularly,yes,1,private,5 - 10,50,52,52
824,female,group C,some high school,free/reduced,none,widowed,sometimes,no,3,private,> 10,49,58,53
825,male,group C,high school,standard,none,single,regularly,,0,school_bus,< 5,61,66,58
826,female,group C,associate's degree,free/reduced,completed,,sometimes,yes,3,school_bus,5 - 10,56,68,70
827,female,,some high school,standard,none,married,regularly,yes,2,school_bus,< 5,64,68,76
829,male,group B,some high school,standard,none,married,regularly,yes,0,school_bus,< 5,67,53,53
830,female,group A,some college,free/reduced,none,single,regularly,yes,3,school_bus,> 10,64,61,59
831,female,group C,bachelor's degree,free/reduced,completed,married,regularly,,,school_bus,5 - 10,76,87,91
832,male,group A,bachelor's degree,standard,none,divorced,never,yes,1,school_bus,> 10,63,59,57
834,male,group B,some college,standard,none,single,regularly,yes,2,school_bus,5 - 10,59,50,46
835,female,group C,high school,standard,completed,single,regularly,yes,2,school_bus,5 - 10,61,64,75
836,male,group E,high school,standard,none,single,regularly,no,3,private,> 10,77,65,59
837,female,group A,high school,standard,completed,married,regularly,yes,6,school_bus,> 10,79,84,82
838,male,group B,associate's degree,free/reduced,completed,divorced,regularly,yes,1,school_bus,< 5,57,56,53
840,female,group D,high school,free/reduced,none,divorced,sometimes,yes,4,school_bus,5 - 10,39,52,46
841,male,group C,some high school,standard,none,married,regularly,yes,0,school_bus,5 - 10,65,58,52
842,female,group B,high school,free/reduced,completed,married,sometimes,no,2,private,> 10,23,44,36
843,male,group B,some college,free/reduced,completed,single,sometimes,yes,2,school_bus,> 10,76,78,77
844,female,group D,some high school,free/reduced,completed,single,regularly,yes,0,school_bus,< 5,39,64,64
845,male,group E,master's degree,standard,none,divorced,sometimes,yes,1,private,< 5,88,85,84
846,male,group C,master's degree,standard,completed,married,sometimes,yes,7,private,5 - 10,91,85,85
848,female,group C,high school,standard,none,married,regularly,no,4,private,5 - 10,60,73,69
849,male,group D,associate's degree,standard,none,single,regularly,yes,0,school_bus,5 - 10,82,76,70
850,male,group C,master's degree,standard,none,married,never,yes,2,,5 - 10,69,67,67
851,female,group A,high school,standard,none,married,sometimes,yes,3,private,< 5,59,66,61
852,female,group E,some college,standard,none,married,regularly,no,1,,< 5,86,84,93
853,male,group E,some high school,standard,none,married,never,no,2,private,< 5,77,65,58
854,male,group C,some high school,standard,none,,sometimes,yes,2,school_bus,5 - 10,62,64,55
855,female,group B,bachelor's degree,standard,none,married,regularly,yes,0,private,< 5,96,96,96
856,male,group B,some college,free/reduced,none,married,regularly,no,1,school_bus,5 - 10,77,69,66
857,female,group C,bachelor's degree,standard,none,married,regularly,no,2,private,5 - 10,66,80,83
858,male,group B,high school,standard,completed,divorced,regularly,,3,school_bus,5 - 10,53,49,47
859,male,group C,associate's degree,free/reduced,none,married,sometimes,yes,3,school_bus,5 - 10,87,73,72
860,female,group C,associate's degree,standard,none,divorced,never,yes,,school_bus,5 - 10,51,61,51
861,female,group E,master's degree,free/reduced,none,married,sometimes,yes,4,school_bus,> 10,83,87,88
862,male,group D,bachelor's degree,free/reduced,completed,single,sometimes,no,2,private,< 5,37,41,37
863,female,group C,some college,standard,completed,single,regularly,yes,1,private,< 5,70,70,80
864,male,group C,associate's degree,standard,none,married,regularly,yes,3,school_bus,5 - 10,99,94,93
865,male,group D,,standard,completed,married,never,no,3,school_bus,5 - 10,79,80,85
867,male,group B,associate's degree,standard,none,divorced,regularly,no,1,,< 5,60,41,41
868,male,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3,school_bus,> 10,80,75,73
869,male,group C,associate's degree,free/reduced,none,married,regularly,,2,school_bus,> 10,51,52,53
870,male,group B,high school,standard,none,married,sometimes,yes,1,school_bus,5 - 10,59,58,47
872,male,group B,associate's degree,standard,completed,married,sometimes,yes,1,private,5 - 10,82,84,78
873,male,group E,associate's degree,free/reduced,none,married,never,yes,1,school_bus,< 5,84,87,78
874,female,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,3,private,< 5,41,61,59
875,male,group C,,free/reduced,none,married,sometimes,no,7,school_bus,5 - 10,80,64,66
876,male,group D,some college,standard,none,married,sometimes,yes,3,school_bus,5 - 10,81,82,84
877,male,group C,some high school,standard,none,married,sometimes,yes,2,private,5 - 10,57,61,54
878,female,group D,some high school,standard,none,single,regularly,no,3,private,,60,73,82
879,female,,associate's degree,standard,none,married,sometimes,no,3,school_bus,5 - 10,64,76,74
880,male,group C,bachelor's degree,standard,completed,married,sometimes,yes,3,school_bus,< 5,61,63,64
881,female,group E,bachelor's degree,standard,completed,single,regularly,no,3,school_bus,< 5,70,69,70
882,female,group B,high school,free/reduced,none,married,regularly,yes,5,private,> 10,67,75,74
883,male,group D,bachelor's degree,free/reduced,none,married,sometimes,yes,1,school_bus,> 10,56,46,44
884,female,group E,associate's degree,standard,none,single,never,yes,0,,< 5,47,49,51
885,female,group C,associate's degree,standard,completed,married,sometimes,no,,school_bus,5 - 10,62,76,80
886,female,group E,associate's degree,standard,completed,married,regularly,yes,,school_bus,> 10,98,100,99
888,female,group D,some college,free/reduced,none,married,sometimes,no,3,school_bus,5 - 10,69,65,74
889,male,group D,high school,free/reduced,none,divorced,sometimes,no,3,school_bus,< 5,42,50,47
890,female,group E,some college,standard,completed,married,regularly,no,1,private,5 - 10,88,86,93
891,female,group E,associate's degree,standard,none,married,regularly,yes,1,school_bus,5 - 10,87,93,87
892,female,group A,master's degree,free/reduced,none,married,sometimes,yes,2,school_bus,,50,68,75
893,male,group D,some high school,standard,completed,divorced,sometimes,yes,0,private,> 10,90,75,76
894,female,group E,associate's degree,standard,none,divorced,never,yes,3,school_bus,< 5,55,60,65
895,female,group E,,free/reduced,none,divorced,regularly,no,5,private,5 - 10,32,34,38
896,male,group B,high school,free/reduced,none,,regularly,yes,3,school_bus,5 - 10,37,29,27
897,female,group B,some high school,free/reduced,completed,single,regularly,yes,3,private,< 5,62,77,79
898,male,group D,,standard,completed,married,sometimes,no,3,school_bus,< 5,64,53,61
899,female,group D,some high school,standard,completed,single,sometimes,yes,1,private,5 - 10,65,78,82
900,male,group D,master's degree,standard,none,married,sometimes,no,3,private,5 - 10,85,84,89
901,female,group C,master's degree,standard,none,married,sometimes,yes,2,school_bus,5 - 10,73,79,76
902,female,group A,high school,free/reduced,completed,married,sometimes,yes,0,,< 5,32,47,40
903,female,group D,bachelor's degree,free/reduced,completed,divorced,sometimes,yes,0,private,5 - 10,93,100,100
904,female,group D,some high school,free/reduced,none,divorced,regularly,yes,4,school_bus,5 - 10,69,85,86
905,male,group D,,standard,none,single,never,yes,2,private,< 5,82,74,73
906,male,group B,,standard,none,married,regularly,yes,0,private,< 5,56,47,51
907,female,group D,some college,standard,completed,single,regularly,,5,private,> 10,83,86,95
908,female,group C,bachelor's degree,free/reduced,none,divorced,sometimes,no,1,school_bus,5 - 10,67,75,72
909,male,,bachelor's degree,standard,completed,married,sometimes,no,1,private,< 5,67,63,68
910,male,group D,bachelor's degree,free/reduced,,divorced,sometimes,yes,3,private,5 - 10,50,42,48
911,female,group A,some college,standard,none,married,regularly,no,1,school_bus,5 - 10,71,85,84
912,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,3,private,5 - 10,52,61,66
913,female,group C,bachelor's degree,free/reduced,completed,single,regularly,yes,2,school_bus,< 5,46,61,66
914,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,> 10,47,61,56
915,female,group E,some college,standard,none,married,regularly,no,2,private,5 - 10,70,71,67
916,male,group E,bachelor's degree,standard,completed,single,regularly,yes,7,private,5 - 10,100,100,100
917,female,group C,high school,standard,none,married,regularly,yes,1,private,< 5,43,60,52
918,female,group C,associate's degree,standard,completed,married,regularly,yes,0,private,5 - 10,58,78,82
919,male,group B,some college,standard,completed,married,,yes,1,school_bus,5 - 10,91,96,91
920,male,group D,high school,free/reduced,none,married,regularly,,1,private,5 - 10,71,71,68
922,male,group D,high school,standard,none,married,regularly,no,1,school_bus,< 5,71,65,66
923,female,group B,associate's degree,free/reduced,none,single,sometimes,no,1,school_bus,5 - 10,54,65,65
924,male,group D,high school,free/reduced,none,married,sometimes,yes,0,school_bus,5 - 10,74,70,69
925,male,group E,some high school,standard,completed,divorced,regularly,no,2,school_bus,5 - 10,76,64,61
926,male,group E,,free/reduced,none,married,sometimes,yes,0,,,64,56,52
927,female,group D,high school,free/reduced,completed,married,sometimes,yes,1,school_bus,> 10,66,61,72
928,male,group E,associate's degree,free/reduced,completed,married,sometimes,yes,0,school_bus,5 - 10,46,43,44
929,female,group C,some high school,free/reduced,none,,never,yes,2,private,< 5,45,54,48
931,male,group D,some college,free/reduced,none,married,regularly,yes,2,,< 5,61,56,62
932,male,group D,associate's degree,free/reduced,completed,divorced,regularly,yes,2,private,5 - 10,62,72,74
933,male,group C,,free/reduced,completed,divorced,sometimes,yes,5,private,< 5,67,73,72
934,male,group C,associate's degree,standard,completed,married,sometimes,no,2,school_bus,> 10,100,88,91
935,male,group D,some college,free/reduced,none,divorced,regularly,yes,0,private,5 - 10,72,63,59
936,male,group A,associate's degree,standard,none,divorced,never,no,1,school_bus,5 - 10,64,56,51
937,female,group E,high school,free/reduced,none,married,regularly,yes,1,private,< 5,56,57,57
938,male,group D,some college,standard,completed,married,sometimes,yes,1,private,5 - 10,85,81,85
939,male,group D,some high school,standard,completed,divorced,regularly,yes,4,private,,79,69,70
940,male,group C,master's degree,free/reduced,completed,married,never,yes,0,school_bus,5 - 10,70,66,72
941,female,group D,master's degree,standard,none,married,regularly,no,1,school_bus,5 - 10,81,94,100
942,male,group C,high school,standard,none,married,regularly,yes,0,private,< 5,80,65,64
943,male,group A,some high school,free/reduced,completed,single,sometimes,no,3,school_bus,5 - 10,61,62,61
944,female,group B,high school,standard,none,married,sometimes,yes,3,private,< 5,56,66,59
945,female,group C,associate's degree,standard,none,divorced,regularly,no,1,school_bus,5 - 10,55,61,59
946,male,group B,high school,standard,none,married,sometimes,yes,3,private,< 5,79,80,78
947,female,group D,some college,free/reduced,none,married,sometimes,yes,1,private,< 5,47,57,58
948,male,group B,some high school,free/reduced,completed,single,regularly,no,1,school_bus,< 5,48,49,52
949,female,group E,high school,free/reduced,completed,,sometimes,yes,3,private,> 10,58,76,74
950,male,group E,high school,standard,none,married,never,yes,0,private,5 - 10,91,71,69
951,female,group D,some college,standard,completed,single,regularly,yes,3,,,77,78,85
952,female,group E,some high school,free/reduced,none,married,sometimes,yes,1,private,5 - 10,74,74,72
953,male,,high school,standard,completed,single,sometimes,no,3,private,5 - 10,58,52,54
954,female,group C,some college,standard,,married,sometimes,yes,2,private,< 5,60,67,67
955,male,group E,associate's degree,standard,none,married,regularly,no,5,school_bus,> 10,76,58,64
956,male,group C,some college,standard,none,married,regularly,yes,0,private,5 - 10,86,88,83
957,female,group D,master's degree,standard,none,divorced,sometimes,yes,4,school_bus,,92,100,100
958,female,group D,high school,standard,none,divorced,regularly,yes,1,school_bus,< 5,44,62,59
959,male,group C,high school,standard,,single,sometimes,,3,private,5 - 10,75,81,71
960,female,group A,some college,standard,none,single,regularly,no,2,school_bus,5 - 10,57,58,65
961,female,group D,some high school,free/reduced,,single,regularly,yes,4,school_bus,5 - 10,49,54,54
962,female,group E,associate's degree,standard,none,single,regularly,no,3,school_bus,5 - 10,100,100,100
963,female,,some high school,free/reduced,completed,married,never,yes,1,school_bus,5 - 10,63,74,73
964,male,group D,,standard,none,married,sometimes,no,4,school_bus,5 - 10,72,57,58
965,female,group D,some college,standard,,single,regularly,yes,,school_bus,5 - 10,63,71,73
966,male,group A,some high school,standard,completed,divorced,regularly,yes,1,school_bus,5 - 10,67,69,65
967,male,group C,some college,standard,none,married,never,yes,4,school_bus,< 5,59,61,57
968,female,group E,associate's degree,standard,none,single,regularly,yes,1,school_bus,,70,77,68
969,female,group B,bachelor's degree,standard,none,divorced,never,yes,1,school_bus,5 - 10,72,82,78
970,female,group D,bachelor's degree,standard,none,widowed,regularly,yes,0,school_bus,5 - 10,91,100,100
971,male,group C,some high school,standard,completed,single,regularly,yes,2,school_bus,> 10,82,74,72
972,female,group A,high school,free/reduced,completed,married,regularly,,3,school_bus,5 - 10,54,50,61
973,female,group D,some college,free/reduced,none,divorced,regularly,yes,3,,< 5,48,64,61
974,female,group A,,standard,none,married,sometimes,no,2,school_bus,< 5,52,62,65
977,male,group C,associate's degree,standard,none,married,sometimes,yes,1,school_bus,< 5,60,64,56
978,male,group D,high school,standard,completed,married,regularly,yes,5,private,< 5,54,40,48
979,female,group C,associate's degree,standard,none,married,sometimes,no,3,private,5 - 10,91,95,94
980,female,group B,high school,free/reduced,none,married,sometimes,yes,1,private,5 - 10,8,24,23
981,male,group D,some high school,standard,none,married,regularly,no,2,school_bus,5 - 10,83,79,79
982,male,group B,some high school,standard,completed,married,sometimes,yes,4,,< 5,76,83,84
983,female,group A,some college,standard,completed,married,regularly,yes,1,,> 10,82,89,95
984,female,group C,some high school,standard,none,married,regularly,yes,6,school_bus,5 - 10,72,74,81
985,male,group A,high school,standard,none,married,regularly,no,1,private,< 5,56,50,54
986,female,group C,associate's degree,standard,none,,never,yes,,,5 - 10,38,58,49
987,male,group E,some high school,standard,completed,married,regularly,yes,0,school_bus,5 - 10,83,76,77
988,female,group A,some high school,free/reduced,,single,sometimes,no,5,school_bus,5 - 10,41,44,43
989,female,group D,some college,free/reduced,completed,married,regularly,yes,3,school_bus,5 - 10,69,87,85
990,male,group E,high school,free/reduced,completed,married,regularly,yes,1,school_bus,5 - 10,88,82,76
991,female,group B,some high school,standard,completed,married,regularly,no,1,school_bus,5 - 10,66,83,79
992,female,group D,associate's degree,free/reduced,none,married,sometimes,yes,1,school_bus,5 - 10,55,76,76
993,female,group D,bachelor's degree,free/reduced,none,single,sometimes,yes,3,school_bus,5 - 10,62,72,74
994,male,group A,high school,standard,none,married,regularly,no,7,school_bus,> 10,66,64,64
995,female,group E,master's degree,standard,,married,never,no,2,school_bus,5 - 10,86,99,95
996,male,group C,high school,free/reduced,none,single,regularly,yes,2,school_bus,< 5,61,54,55
997,female,group C,high school,free/reduced,completed,married,sometimes,no,2,school_bus,5 - 10,59,71,65
998,female,group D,,standard,completed,divorced,sometimes,yes,3,school_bus,5 - 10,68,78,77
999,female,group D,some college,free/reduced,none,married,regularly,yes,1,school_bus,> 10,81,88,89
